root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:22:06.193476 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 918870287:918870395, ack 3305433507, win 501, length 108
19:22:06.193603 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 108:144, ack 1, win 501, length 36
19:22:06.193719 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 144:252, ack 1, win 501, length 108
19:22:06.193809 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 252:288, ack 1, win 501, length 36
19:22:06.194682 IP 143.110.223.72.45695 > dns.google.domain: 53662+ PTR? 55.228.238.99.in-addr.arpa. (44)
19:22:06.207047 IP cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819 > 143.110.223.72.ssh: Flags [.], ack 108, win 511, length 0
19:22:06.272197 IP dns.google.domain > 143.110.223.72.45695: 53662 1/0/0 PTR cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com. (113)
19:22:06.272593 IP 143.110.223.72.32867 > dns.google.domain: 23883+ PTR? 72.223.110.143.in-addr.arpa. (45)
19:22:06.277965 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 252:288, ack 1, win 501, length 36
19:22:06.280645 IP dns.google.domain > 143.110.223.72.32867: 23883 NXDomain 0/1/0 (112)
19:22:06.280918 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 288:500, ack 1, win 501, length 212
19:22:06.281030 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 500:536, ack 1, win 501, length 36
19:22:06.281152 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 536:724, ack 1, win 501, length 188
19:22:06.281237 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 724:760, ack 1, win 501, length 36
19:22:06.281342 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 760:948, ack 1, win 501, length 188
19:22:06.281426 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 948:984, ack 1, win 501, length 36
19:22:06.281527 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 984:1172, ack 1, win 501, length 188
19:22:06.281807 IP 143.110.223.72.37146 > dns.google.domain: 24819+ PTR? 8.8.8.8.in-addr.arpa. (38)
19:22:06.282891 IP dns.google.domain > 143.110.223.72.37146: 24819 1/0/0 PTR dns.google. (62)
19:22:06.349965 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [.], seq 1172:2632, ack 1, win 501, length 1460
19:22:06.390639 IP cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819 > 143.110.223.72.ssh: Flags [.], ack 288, win 510, options [nop,nop,sack 1 {252:288}], length 0
19:22:06.390721 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 2632:4528, ack 1, win 501, length 1896
19:22:06.391018 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 4528:4740, ack 1, win 501, length 212
19:22:06.391114 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 4740:4776, ack 1, win 501, length 36
19:22:06.391226 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 4776:4972, ack 1, win 501, length 196
19:22:06.391311 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 4972:5008, ack 1, win 501, length 36
19:22:06.391415 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5008:5204, ack 1, win 501, length 196
19:22:06.391510 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5204:5240, ack 1, win 501, length 36
19:22:06.391624 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5240:5436, ack 1, win 501, length 196
19:22:06.391708 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5436:5472, ack 1, win 501, length 36
19:22:06.391811 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5472:5668, ack 1, win 501, length 196
19:22:06.391893 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5668:5704, ack 1, win 501, length 36
19:22:06.392025 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5704:5900, ack 1, win 501, length 196
19:22:06.392109 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5900:5936, ack 1, win 501, length 36
19:22:06.392212 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 5936:6132, ack 1, win 501, length 196
19:22:06.392291 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6132:6168, ack 1, win 501, length 36
19:22:06.392393 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6168:6364, ack 1, win 501, length 196
19:22:06.392476 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6364:6400, ack 1, win 501, length 36
19:22:06.392577 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6400:6596, ack 1, win 501, length 196
19:22:06.392659 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6596:6632, ack 1, win 501, length 36
19:22:06.392785 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6632:6828, ack 1, win 501, length 196
19:22:06.392865 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6828:6864, ack 1, win 501, length 36
19:22:06.392964 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 6864:7060, ack 1, win 501, length 196
19:22:06.393042 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7060:7096, ack 1, win 501, length 36
19:22:06.393141 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7096:7292, ack 1, win 501, length 196
19:22:06.393256 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7292:7328, ack 1, win 501, length 36
19:22:06.393350 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7328:7524, ack 1, win 501, length 196
19:22:06.393430 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7524:7560, ack 1, win 501, length 36
19:22:06.393531 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7560:7756, ack 1, win 501, length 196
19:22:06.393609 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7756:7792, ack 1, win 501, length 36
19:22:06.393709 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7792:7988, ack 1, win 501, length 196
19:22:06.393789 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 7988:8024, ack 1, win 501, length 36
19:22:06.393923 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8024:8220, ack 1, win 501, length 196
19:22:06.394020 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8220:8256, ack 1, win 501, length 36
19:22:06.394260 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8256:8452, ack 1, win 501, length 196
19:22:06.394355 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8452:8488, ack 1, win 501, length 36
19:22:06.394457 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8488:8684, ack 1, win 501, length 196
19:22:06.394577 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8684:8720, ack 1, win 501, length 36
19:22:06.394652 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8720:8916, ack 1, win 501, length 196
19:22:06.394731 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8916:8952, ack 1, win 501, length 36
19:22:06.394841 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 8952:9148, ack 1, win 501, length 196
19:22:06.394923 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9148:9184, ack 1, win 501, length 36
19:22:06.395042 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9184:9380, ack 1, win 501, length 196
19:22:06.395125 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9380:9416, ack 1, win 501, length 36
19:22:06.395227 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9416:9612, ack 1, win 501, length 196
19:22:06.395248 IP cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819 > 143.110.223.72.ssh: Flags [.], ack 984, win 507, length 0
19:22:06.395266 IP cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819 > 143.110.223.72.ssh: Flags [.], ack 2632, win 513, length 0
19:22:06.395341 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9612:9648, ack 1, win 501, length 36
19:22:06.395447 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9648:9844, ack 1, win 501, length 196
19:22:06.395530 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9844:9880, ack 1, win 501, length 36
19:22:06.395627 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 9880:10076, ack 1, win 501, length 196
19:22:06.395747 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10076:10308, ack 1, win 501, length 232
19:22:06.395882 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10308:10540, ack 1, win 501, length 232
19:22:06.395929 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10540:10576, ack 1, win 501, length 36
19:22:06.396099 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10576:10772, ack 1, win 501, length 196
19:22:06.396223 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10772:10808, ack 1, win 501, length 36
19:22:06.396340 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 10808:11004, ack 1, win 501, length 196
19:22:06.396445 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11004:11040, ack 1, win 501, length 36
19:22:06.396553 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11040:11236, ack 1, win 501, length 196
19:22:06.396637 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11236:11272, ack 1, win 501, length 36
19:22:06.396749 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11272:11468, ack 1, win 501, length 196
19:22:06.396880 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11468:11824, ack 1, win 501, length 356
19:22:06.397192 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 11824:12804, ack 1, win 501, length 980
19:22:06.397256 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 12804:13000, ack 1, win 501, length 196
19:22:06.397521 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 13000:14580, ack 1, win 501, length 1580
19:22:06.397721 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 14580:15576, ack 1, win 501, length 996
19:22:06.397935 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 15576:16412, ack 1, win 501, length 836
19:22:06.398148 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 16412:17568, ack 1, win 501, length 1156
19:22:06.398275 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 17568:17772, ack 1, win 501, length 204
19:22:06.398400 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 17772:17968, ack 1, win 501, length 196
19:22:06.398522 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 17968:18164, ack 1, win 501, length 196
19:22:06.398642 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 18164:18360, ack 1, win 501, length 196
19:22:06.398762 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 18360:18556, ack 1, win 501, length 196
19:22:06.398882 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 18556:18752, ack 1, win 501, length 196
19:22:06.398998 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 18752:18948, ack 1, win 501, length 196
19:22:06.399117 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 18948:19144, ack 1, win 501, length 196
19:22:06.399245 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 19144:19340, ack 1, win 501, length 196
19:22:06.399363 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 19340:19536, ack 1, win 501, length 196
19:22:06.399488 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 19536:19732, ack 1, win 501, length 196
19:22:06.399609 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 19732:19928, ack 1, win 501, length 196
19:22:06.399729 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 19928:20124, ack 1, win 501, length 196
19:22:06.399850 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 20124:20320, ack 1, win 501, length 196
19:22:06.399995 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 20320:20516, ack 1, win 501, length 196
19:22:06.400119 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 20516:20712, ack 1, win 501, length 196
19:22:06.400242 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 20712:20908, ack 1, win 501, length 196
19:22:06.400369 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 20908:21104, ack 1, win 501, length 196
19:22:06.400490 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 21104:21300, ack 1, win 501, length 196
19:22:06.400606 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 21300:21496, ack 1, win 501, length 196
19:22:06.400721 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 21496:21692, ack 1, win 501, length 196
19:22:06.400838 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 21692:21888, ack 1, win 501, length 196
19:22:06.400955 IP 143.110.223.72.ssh > cpe9050ca275d83-cm9050ca275d80.cpe.net.cable.rogers.com.64819: Flags [P.], seq 21888:22084, ack 1, win 501, length 196
