root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
21:44:10.472764 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 938732299:938732407, ack 3305455263, win 501, length 108
21:44:10.472917 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 108:144, ack 1, win 501, length 36
21:44:10.473032 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 144:252, ack 1, win 501, length 108
21:44:10.473125 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 252:288, ack 1, win 501, length 36
21:44:10.473360 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 288:460, ack 1, win 501, length 172
21:44:10.473519 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 460:644, ack 1, win 501, length 184
21:44:10.473615 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 644:680, ack 1, win 501, length 36
21:44:10.473727 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 680:828, ack 1, win 501, length 148
21:44:10.473815 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 828:864, ack 1, win 501, length 36
21:44:10.485323 IP 99.238.228.55.64819 > 143.110.223.72.22: Flags [.], ack 108, win 3087, length 0
21:44:10.485390 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 864:1968, ack 1, win 501, length 1104
21:44:10.485601 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 1968:2220, ack 1, win 501, length 252
21:44:10.485760 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 2220:2376, ack 1, win 501, length 156
21:44:10.485929 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 2376:2532, ack 1, win 501, length 156
21:44:10.553951 IP 143.110.223.72.22 > 99.238.228.55.64819: Flags [P.], seq 2532:2688, ack 1, win 501, length 156
